university,code
osti̇m tekni̇k üni̇versi̇tesi̇,176
osti̇m tekni̇k üni̇versi̇tesi̇  (i̇ngilizce),176
osti̇m tekni̇k üni̇versi̇tesi̇ (i̇ngilizce),176
osti̇m tekni̇k üni̇versi̇tesi̇***,176
pamukkale ü.,177
pamukkale üniversitesi,177
piri reis ü.,178
piri reis üniversitesi,178
pi̇ri̇ rei̇s üni̇versi̇tesi̇,178
pi̇ri̇ rei̇s üni̇versi̇tesi̇ (i̇ngilizce),178
rauf denktaş üni̇versi̇tesi̇,179
recep tayyip erdoğan ü.,180
recep tayyip erdoğan üniversitesi,180
sabanci üni̇versi̇tesi̇,181
sabanci üni̇versi̇tesi̇*** (i̇ngilizce),181
sabancı ü.,181
sabancı üniversitesi,181
sakarya uygulamalı bilimler ü.,182
sakarya uygulamalı bilimler üniversitesi,182
sakarya ü.,183
sakarya üniversitesi,183
samsun ü.,184
samsun üniversitesi,184
samsun üniversitesi,184
sanko ü.,185
sanko üniversitesi,185
sanko üni̇versi̇tesi̇,185
sağlık bilimleri ü.,186
sağlık bilimleri üniversitesi,186
selçuk ü.,187
selçuk üniversitesi,187
siirt ü.,188
siirt üniversitesi,188
sinop ü.,189
sinop üniversitesi,189
sinop üniversitesi,189
sivas cumhuriyet ü.,190
sivas cumhuriyet üniversitesi,190
süleyman demirel ü.,191
süleyman demirel üniversitesi,191
tarsus ü.,192
tarsus üniversitesi,192
ted ü.,193
ted üniversitesi,193
ted üni̇versi̇tesi̇,193
ted üni̇versi̇tesi̇ (i̇ngilizce),193
ted üni̇versi̇tesi̇***,193
ted üni̇versi̇tesi̇*** (i̇ngilizce),193
tekirdağ namık kemal ü.,194
tekirdağ namık kemal üniversitesi,194
tobb ekonomi ve teknoloji ü.,195
tobb ekonomi ve teknoloji üniversitesi,195
"tobb ekonomi̇ ve teknoloji̇ 
üni̇versi̇tesi̇",195
tobb ekonomi̇ ve teknoloji̇ üni̇versi̇tesi̇,195
tokat gaziosmanpaşa ü.,196
tokat gaziosmanpaşa üniversitesi,196
tokat gaziosmanpaşa üniversitesi,196
toros ü.,197
toros üniversitesi,197
toros üni̇versi̇tesi̇,197
toros üni̇versi̇tesi̇  (i̇ngilizce),197
trabzon ü.,198
trabzon üniversitesi,198
trakya ü.,199
trakya üniversitesi,199
"türk hava kurumu 
üni̇versi̇tesi̇",200
türk hava kurumu ü.,200
türk hava kurumu üniversitesi,200
türk hava kurumu üni̇versi̇tesi̇,200
türk hava kurumu üni̇versi̇tesi̇  (i̇ngilizce),200
türk hava kurumu üni̇versi̇tesi̇ (i̇ngilizce),200
türk-alman ü.,201
türk-alman üniversitesi,201
türk hava kurumu üniversitesi,200
ufuk ü.,202
ufuk üniversitesi,202
ufuk üni̇versi̇tesi̇,202
uluslararasi fi̇nal üni̇versi̇tesi̇,203
uluslararasi kibris üni̇versi̇tesi̇,204
uşak ü.,205
uşak üniversitesi,205
van yüzüncü yıl ü.,206
van yüzüncü yıl üniversitesi,206
yakin doğu üni̇versi̇tesi̇,207
yalova ü.,208
yalova üniversitesi,208
yalova üniversitesi,208
yaşar ü.,209
yaşar üniversitesi,209
yaşar üni̇versi̇tesi̇,209
yaşar üni̇versi̇tesi̇  (i̇ngilizce),209
yaşar üni̇versi̇tesi̇  (i̇ngilizce-fransızca),209
yaşar üni̇versi̇tesi̇ (i̇ngilizce),209
yeditepe ü.,210
yeditepe üniversitesi,210
yedi̇tepe üni̇versi̇tesi̇,210
yedi̇tepe üni̇versi̇tesi̇  (i̇ngilizce),210
yedi̇tepe üni̇versi̇tesi̇ (i̇ngilizce),210
yozgat bozok ü.,211
yozgat bozok üniversitesi,211
yozgat bozok üniversitesi,211
yüksek i̇htisas ü.,212
yüksek i̇htisas üniversitesi,212
yüksek i̇hti̇sas üni̇versi̇tesi̇,212
yüksek i̇htisas üniversitesi,212
yıldız teknik ü.,213
yıldız teknik üniversitesi,213
zonguldak bülent ecevit ü.,214
zonguldak bülent ecevit üniversitesi,214
çanakkale onsekiz mart ü.,215
çanakkale onsekiz mart üniversitesi,215
çankaya ü.,216
çankaya üniversitesi,216
çankaya üni̇versi̇tesi̇,216
çankaya üni̇versi̇tesi̇  (i̇ngilizce),216
çankaya üni̇versi̇tesi̇ (i̇ngilizce),216
çankırı karatekin ü.,217
çankırı karatekin üniversitesi,217
çankırı karatekin üniversitesi,217
çağ ü.,218
çağ üniversitesi,218
çağ üni̇versi̇tesi̇,218
çağ üniversitesi,218
çukurova ü.,219
çukurova üniversitesi,219
özyeğin ü.,220
özyeğin üniversitesi,220
özyeği̇n üni̇versi̇tesi̇,220
özyeği̇n üni̇versi̇tesi̇  (i̇ngilizce),220
özyeği̇n üni̇versi̇tesi̇ (i̇ngilizce),220
üsküdar ü.,221
üsküdar üniversitesi,221
üsküdar üni̇versi̇tesi̇,221
üsküdar üni̇versi̇tesi̇ (i̇ngilizce),221
şırnak ü.,222
şırnak üniversitesi,222
şırnak üniversitesi,222
